product_id,title,authors,original_price,current_price,discount,discount_percent (%),quantity,category,n_review,avg_rating,pages,manufacturer
74021317,Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,108000,64800,43200,0.4,53075,Tiểu Thuyết,11481,5.00,244,Nhà Xuất Bản Hội Nhà Văn
184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,86000,59900,26100,0.3034883721,7929,Sách tư duy - Kỹ năng sống,780,4.80,184,Nhà Xuất Bản Thế Giới
73787185,Những Tù Nhân Của Địa Lý,Tim Marshall,210000,126000,84000,0.4,17896,Lĩnh vực khác,3623,4.80,430,Nhà Xuất Bản Hội Nhà Văn
52789367,Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,79000,47400,31600,0.4,24668,Tác phẩm kinh điển,5131,5.00,228,Nhà Xuất Bản Hà Nội
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,Ocean Vuong,135000,81000,54000,0.4,10000,Tiểu Thuyết,1636,4.80,304,Nhà Xuất Bản Hội Nhà Văn
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,63000,42000,0.4,25272,Truyện ngắn - Tản văn - Tạp Văn,3791,4.80,358,Unknown
167940010,Thao Túng Tâm Lý,Shannon Thomas,169000,103000,66000,0.3905325444,8152,Sách tư duy - Kỹ năng sống,785,4.80,328,Nhà Xuất Bản Dân Trí
117238177,Thư Viện Nửa Đêm,Matt Haig,150000,90000,60000,0.4,7166,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1544,4.80,424,Nhà Xuất Bản Hội Nhà Văn
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,Lê Bảo Ngọc,128000,96000,32000,0.25,4630,Sách tư duy - Kỹ năng sống,604,4.80,296,Nhà Xuất Bản Thế Giới
199216988,Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,139000,85180,53820,0.3871942446,3980,Sách tư duy - Kỹ năng sống,327,4.80,352,Nhà Xuất Bản Thế Giới
3954355,Yêu Những Điều Không Hoàn Hảo,Hae Min,139000,83400,55600,0.4,33316,Truyện ngắn - Tản văn - Tạp Văn,3431,4.80,300,Unknown
42230121,Hiểu Về Trái Tim (Tái Bản),Minh Niệm,138000,95200,42800,0.3101449275,25230,Sách tư duy - Kỹ năng sống,2990,4.80,480,Unknown
206840682,Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,280000,221000,59000,0.2107142857,164,Sách kinh tế học,14,4.60,559,Nhà Xuất Bản Phụ Nữ
52788072,Chiến Binh Cầu Vồng (Tái Bản 2020),Andrea Hirata,109000,65400,43600,0.4,17175,Tiểu Thuyết,3033,4.80,428,Nhà Xuất Bản Hội Nhà Văn
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,179000,115001,63999,0.3575363128,20322,Truyện ngắn - Tản văn - Tạp Văn,4863,4.80,424,Nhà Xuất Bản Thế Giới
72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,Jo Hemmings,300000,180000,120000,0.4,13802,Sách tư duy - Kỹ năng sống,3180,4.80,247,Nhà Xuất Bản Thế Giới
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,240000,144000,96000,0.4,9627,Truyện ngắn - Tản văn - Tạp Văn,2013,5.00,322,Nhà Xuất Bản Hội Nhà Văn
7779328,Cú Săn Đêm,Samuel Bjork,134000,113900,20100,0.15,7,Tiểu Thuyết,0,0.00,400,Unknown
